SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
346,837.102783,1017880.875,0.0,0.0,0.0,0.0,8057.386719,0.0,0.0,0.0,3732229.875
347,837.816528,1017880.875,0.0,0.0,0.0,0.0,7562.023438,0.0,0.0,0.0,3732229.875
348,837.823669,1017880.875,0.0,0.0,0.0,0.0,7779.365234,0.0,0.0,0.0,3732229.875
349,834.338745,1017880.875,0.0,0.0,0.0,0.0,7770.923828,0.0,0.0,0.0,3732229.875
351,134.461945,160331.6875,606.864746,0.0,0.0,0.0,1651.371338,0.0,606.864746,606.864746,587882.8541666666
352,63.790009,57087.367188,1194.332886,0.0,0.0,0.0,886.282898,0.0,1194.332886,1194.332886,209320.34635599997
353,29.082586,34009.351562,81.875298,0.0,0.0,0.0,279.25354,0.0,81.875298,81.875298,124700.95572733333
357,4.090926,5494.25293,39.567688,0.0,0.0,0.0,51.435448,0.0,39.567688,39.567688,20145.594076666664
358,251.712616,436807.3125,3396.593994,0.0,0.0,0.0,2587.825928,0.0,3396.593994,3396.593994,1601626.8125
359,724.870911,1223427.625,944.611328,0.0,0.0,0.0,7479.680176,0.0,944.611328,944.611328,4485901.291666666
360,17.987598,32965.558594,0.0,0.0,0.0,0.0,160.354736,0.0,0.0,0.0,120873.71484466667
371,816.073364,1496264.375,0.0,0.0,0.0,0.0,9186.903809,0.0,0.0,0.0,5486302.708333333
372,832.492157,1017848.09375,0.0,0.0,0.0,0.0,8442.811035,0.0,0.0,0.0,3732109.677083333
373,825.902603,1017848.09375,0.0,0.0,0.0,0.0,7722.185669,0.0,0.0,0.0,3732109.677083333
374,836.429718,1017848.09375,0.0,0.0,0.0,0.0,7519.361816,0.0,0.0,0.0,3732109.677083333
375,835.038757,1017848.09375,0.0,0.0,0.0,0.0,7544.620117,0.0,0.0,0.0,3732109.677083333
376,837.583496,1017848.09375,0.0,0.0,0.0,0.0,7858.548584,0.0,0.0,0.0,3732109.677083333
377,251.587013,308511.84375,0.0,0.0,0.0,0.0,2418.712097,0.0,0.0,0.0,1131210.09375
378,191.192617,233201.167969,0.0,0.0,0.0,0.0,2123.50946,0.0,0.0,0.0,855070.9492196667
379,674.298523,743950.28125,2246.983719,0.0,0.0,0.0,8464.968262,0.0,2246.983719,2246.983719,2727817.6979166665
380,344.07106,307901.671875,7347.993164,0.0,0.0,0.0,4557.341187,0.0,7347.993164,7347.993164,1128972.796875
381,338.751648,348589.828125,1007.80925,0.0,0.0,0.0,3603.956909,0.0,1007.80925,1007.80925,1278162.703125
385,211.716995,221886.953125,4764.817017,0.0,0.0,0.0,2687.972778,0.0,4764.817017,4764.817017,813585.4947916666
386,581.007355,789339.1875,6049.076904,0.0,0.0,0.0,7410.2771,0.0,6049.076904,6049.076904,2894243.6875
387,554.397255,862589.546875,1140.856262,0.0,0.0,0.0,6257.411377,0.0,1140.856262,1140.856262,3162828.3385416665
399,308.93661,565884.253906,0.0,0.0,0.0,0.0,5073.17366,0.0,0.0,0.0,2074908.9309886668
400,839.455475,1506265.6875,0.0,0.0,0.0,0.0,8502.534912,0.0,0.0,0.0,5522974.1875
401,837.955437,1020245.138672,0.0,0.0,0.0,0.0,7725.153763,0.0,0.0,0.0,3740898.841797333
402,838.974411,1020245.109375,0.0,0.0,0.0,0.0,7742.39209,0.0,0.0,0.0,3740898.734375
403,826.860229,1020245.109375,0.0,0.0,0.0,0.0,7486.447266,0.0,0.0,0.0,3740898.734375
404,839.611069,1020245.109375,0.0,0.0,0.0,0.0,7552.922607,0.0,0.0,0.0,3740898.734375
405,838.841629,1020245.109375,0.0,0.0,0.0,0.0,8101.459961,0.0,0.0,0.0,3740898.734375
406,184.57053,224692.923096,0.0,0.0,0.0,0.0,1906.951422,0.0,0.0,0.0,823874.051352
407,818.166031,995118.171875,0.0,0.0,0.0,0.0,8969.130249,0.0,0.0,0.0,3648766.630208333
408,580.905182,512551.648438,6741.504883,0.0,0.0,0.0,7890.744507,0.0,6741.504883,6741.504883,1879356.0442726666
409,648.064636,646152.710938,3338.737915,0.0,0.0,0.0,7601.813965,0.0,3338.737915,3338.737915,2369226.606772667
410,108.986099,132386.15625,0.0,0.0,0.0,0.0,911.749146,0.0,0.0,0.0,485415.90625
413,595.795258,616624.984375,2347.94281,0.0,0.0,0.0,6504.095764,0.0,2347.94281,2347.94281,2260958.2760416665
414,504.704868,621602.34375,6925.698608,0.0,0.0,0.0,6214.308472,0.0,6925.698608,6925.698608,2279208.59375
415,647.718933,974277.25,2768.694275,0.0,0.0,0.0,7322.928955,0.0,2768.694275,2768.694275,3572349.9166666665
416,665.123932,1162906.5625,5749.383087,0.0,0.0,0.0,9458.624146,0.0,5749.383087,5749.383087,4263990.729166666
426,7.9984,14650.380859,0.0,0.0,0.0,0.0,75.90918,0.0,0.0,0.0,53718.06314966667
427,834.895325,1530962.0,0.0,0.0,0.0,0.0,8326.461914,0.0,0.0,0.0,5613527.333333333
428,835.839722,1168307.5,0.0,0.0,0.0,0.0,7747.770508,0.0,0.0,0.0,4283794.166666666
429,834.658447,1015353.0,0.0,0.0,0.0,0.0,7415.222168,0.0,0.0,0.0,3722961.0
430,819.554993,1015353.0,0.0,0.0,0.0,0.0,7176.250977,0.0,0.0,0.0,3722961.0
431,811.182617,1015353.0,0.0,0.0,0.0,0.0,7456.339844,0.0,0.0,0.0,3722961.0
432,835.867126,1015353.0,0.0,0.0,0.0,0.0,7883.266602,0.0,0.0,0.0,3722961.0
433,601.389771,731147.0625,0.0,0.0,0.0,0.0,6075.787109,0.0,0.0,0.0,2680872.5625
434,834.033081,1015353.0,0.0,0.0,0.0,0.0,8547.905273,0.0,0.0,0.0,3722961.0
435,825.115967,994705.4375,20.95892,0.0,0.0,0.0,8343.375,0.0,20.95892,20.95892,3647253.270833333
436,671.773926,692282.875,1592.828735,0.0,0.0,0.0,8263.083984,0.0,1592.828735,1592.828735,2538370.5416666665
437,835.39624,1015353.0,0.0,0.0,0.0,0.0,7309.551758,0.0,0.0,0.0,3722961.0
438,585.412628,709891.515625,91.096252,0.0,0.0,0.0,4703.667297,0.0,91.096252,91.096252,2602935.5572916665
439,258.259216,300592.625,151.722366,0.0,0.0,0.0,2395.869629,0.0,151.722366,151.722366,1102172.9583333333
440,479.910828,514354.78125,344.583405,0.0,0.0,0.0,5037.439453,0.0,344.583405,344.583405,1885967.53125
441,576.082764,507676.5,3617.274902,0.0,0.0,0.0,6858.123047,0.0,3617.274902,3617.274902,1861480.5
442,677.446045,1004162.5,1466.123047,0.0,0.0,0.0,7238.808594,0.0,1466.123047,1466.123047,3681929.1666666665
443,833.713333,1530961.9375,0.0,0.0,0.0,0.0,7287.461304,0.0,0.0,0.0,5613527.104166666
444,292.28067,536565.0625,65.18959,0.0,0.0,0.0,2474.180664,0.0,65.18959,65.18959,1967405.2291666665
455,817.565674,1497948.0,0.0,0.0,0.0,0.0,8163.335938,0.0,0.0,0.0,5492476.0
456,859.376038,1574860.5,0.0,0.0,0.0,0.0,7944.279785,0.0,0.0,0.0,5774488.5
457,859.769501,1044467.09375,0.0,0.0,0.0,0.0,7558.279297,0.0,0.0,0.0,3829712.677083333
458,858.831604,1044467.125,0.0,0.0,0.0,0.0,7713.775391,0.0,0.0,0.0,3829712.7916666665
459,844.800415,1044467.125,0.0,0.0,0.0,0.0,7434.826172,0.0,0.0,0.0,3829712.7916666665
460,859.728516,1044467.125,0.0,0.0,0.0,0.0,7854.5625,0.0,0.0,0.0,3829712.7916666665
461,859.792542,1044467.125,0.0,0.0,0.0,0.0,8535.070312,0.0,0.0,0.0,3829712.7916666665
462,858.711456,1044467.125,0.0,0.0,0.0,0.0,8397.796875,0.0,0.0,0.0,3829712.7916666665
463,856.751221,1042332.125,0.0,0.0,0.0,0.0,8509.841797,0.0,0.0,0.0,3821884.458333333
